store_name,medicine_name,date,current_stock,daily_demand,expiry_days_left,season,category,demand_trend,lead_time_days,inventory_status,unit_price,reorder_fee,distance_from_distributor_miles
Store A,Paracetamol_500mg,2024-02-25,87,38,272,winter,Pain Relief,stable,6,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-26,55,32,112,winter,Pain Relief,decreasing,3,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-27,353,39,100,winter,Pain Relief,stable,6,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-28,322,31,68,winter,Pain Relief,decreasing,2,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-02-29,284,38,122,winter,Pain Relief,stable,4,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-01,251,33,140,winter,Pain Relief,stable,4,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-02,400,33,320,winter,Pain Relief,stable,3,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-03,363,37,100,winter,Pain Relief,stable,5,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-04,326,37,260,winter,Pain Relief,stable,5,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-05,294,32,92,winter,Pain Relief,decreasing,7,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-06,256,38,352,winter,Pain Relief,stable,4,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-07,218,38,273,winter,Pain Relief,stable,4,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-08,185,33,286,winter,Pain Relief,stable,6,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-09,152,33,316,winter,Pain Relief,stable,6,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-10,112,40,314,winter,Pain Relief,increasing,7,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-11,75,37,342,winter,Pain Relief,stable,2,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-12,226,40,238,winter,Pain Relief,increasing,2,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-13,192,34,155,winter,Pain Relief,stable,5,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-14,157,35,290,winter,Pain Relief,stable,6,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-15,116,41,88,winter,Pain Relief,increasing,5,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-16,79,37,246,winter,Pain Relief,stable,4,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-17,220,36,125,winter,Pain Relief,stable,3,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-18,181,39,193,winter,Pain Relief,stable,5,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-19,147,34,345,winter,Pain Relief,stable,7,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-20,106,41,187,winter,Pain Relief,increasing,3,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-21,69,37,290,winter,Pain Relief,stable,7,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-22,316,31,342,winter,Pain Relief,decreasing,7,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-23,277,39,175,winter,Pain Relief,stable,6,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-24,238,39,318,winter,Pain Relief,stable,7,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-25,200,38,196,winter,Pain Relief,stable,7,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-26,165,35,284,winter,Pain Relief,stable,4,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-27,125,40,231,winter,Pain Relief,increasing,4,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-28,89,36,219,winter,Pain Relief,stable,2,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-29,55,34,172,winter,Pain Relief,stable,7,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-30,359,31,111,winter,Pain Relief,decreasing,5,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-03-31,322,37,172,winter,Pain Relief,stable,6,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-01,624,31,140,summer,Pain Relief,decreasing,4,Surplus,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-02,593,31,61,summer,Pain Relief,decreasing,3,Surplus,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-03,557,36,283,summer,Pain Relief,stable,2,Surplus,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-04,526,31,185,summer,Pain Relief,decreasing,3,Surplus,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-05,491,35,231,summer,Pain Relief,stable,3,Surplus,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-06,455,36,306,summer,Pain Relief,stable,5,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-07,418,37,262,summer,Pain Relief,stable,4,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-08,387,31,314,summer,Pain Relief,decreasing,7,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-09,349,38,157,summer,Pain Relief,stable,7,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-10,313,36,299,summer,Pain Relief,stable,2,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-11,274,39,183,summer,Pain Relief,stable,4,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-12,238,36,318,summer,Pain Relief,stable,5,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-13,197,41,206,summer,Pain Relief,increasing,5,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-14,160,37,187,summer,Pain Relief,stable,3,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-15,122,38,188,summer,Pain Relief,stable,4,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-16,410,39,210,summer,Pain Relief,stable,7,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-17,370,40,158,summer,Pain Relief,increasing,5,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-18,330,40,171,summer,Pain Relief,increasing,2,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-19,296,34,119,summer,Pain Relief,stable,2,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-20,264,32,363,summer,Pain Relief,decreasing,7,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-21,229,35,96,summer,Pain Relief,stable,4,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-22,192,37,68,summer,Pain Relief,stable,2,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-23,159,33,206,summer,Pain Relief,stable,4,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-24,125,34,211,summer,Pain Relief,stable,7,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-25,87,38,220,summer,Pain Relief,stable,5,Critically Low,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-26,308,41,163,summer,Pain Relief,increasing,5,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-27,275,33,171,summer,Pain Relief,stable,7,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-28,236,39,158,summer,Pain Relief,stable,2,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-29,204,32,253,summer,Pain Relief,decreasing,7,Optimal,27.05,20.62,9
Store A,Paracetamol_500mg,2024-04-30,171,33,267,summer,Pain Relief,stable,6,Optimal,27.05,20.62,9
Store A,Ibuprofen_400mg,2024-02-01,169,41,348,winter,Pain Relief,stable,7,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-02,127,42,363,winter,Pain Relief,stable,5,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-03,82,45,194,winter,Pain Relief,stable,4,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-04,321,38,92,winter,Pain Relief,stable,5,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-05,273,48,81,winter,Pain Relief,stable,7,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-06,230,43,289,winter,Pain Relief,stable,6,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-07,190,40,323,winter,Pain Relief,stable,4,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-08,142,48,285,winter,Pain Relief,increasing,6,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-09,104,38,343,winter,Pain Relief,decreasing,2,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-10,62,42,363,winter,Pain Relief,stable,4,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-11,205,41,251,winter,Pain Relief,stable,2,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-12,167,38,231,winter,Pain Relief,decreasing,5,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-13,125,42,65,winter,Pain Relief,stable,4,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-14,79,46,96,winter,Pain Relief,stable,6,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-15,236,38,240,winter,Pain Relief,decreasing,4,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-16,463,38,250,winter,Pain Relief,decreasing,6,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-17,421,42,220,winter,Pain Relief,stable,4,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-18,382,39,340,winter,Pain Relief,decreasing,3,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-19,339,43,117,winter,Pain Relief,stable,4,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-20,294,45,233,winter,Pain Relief,stable,3,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-21,251,43,210,winter,Pain Relief,stable,3,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-22,203,48,332,winter,Pain Relief,increasing,2,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-23,157,46,358,winter,Pain Relief,stable,7,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-24,113,44,229,winter,Pain Relief,stable,3,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-25,73,40,72,winter,Pain Relief,stable,5,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-26,310,47,95,winter,Pain Relief,increasing,6,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-27,269,41,323,winter,Pain Relief,stable,7,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-28,229,40,202,winter,Pain Relief,stable,5,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-02-29,190,39,347,winter,Pain Relief,decreasing,7,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-01,150,40,212,winter,Pain Relief,stable,3,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-02,314,43,117,winter,Pain Relief,stable,7,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-03,276,38,239,winter,Pain Relief,decreasing,3,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-04,233,43,330,winter,Pain Relief,stable,7,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-05,185,48,160,winter,Pain Relief,increasing,2,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-06,140,45,112,winter,Pain Relief,stable,5,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-07,98,42,162,winter,Pain Relief,stable,5,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-08,55,43,106,winter,Pain Relief,stable,4,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-09,328,44,203,winter,Pain Relief,stable,6,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-10,289,39,183,winter,Pain Relief,decreasing,3,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-11,249,40,204,winter,Pain Relief,stable,4,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-12,202,47,288,winter,Pain Relief,increasing,3,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-13,160,42,338,winter,Pain Relief,stable,2,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-14,118,42,188,winter,Pain Relief,stable,3,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-15,71,47,60,winter,Pain Relief,increasing,3,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-16,225,43,148,winter,Pain Relief,stable,6,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-17,461,42,331,winter,Pain Relief,stable,6,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-18,417,44,251,winter,Pain Relief,stable,6,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-19,374,43,306,winter,Pain Relief,stable,4,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-20,327,47,203,winter,Pain Relief,increasing,4,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-21,285,42,145,winter,Pain Relief,stable,2,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-22,243,42,106,winter,Pain Relief,stable,2,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-23,202,41,263,winter,Pain Relief,stable,3,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-24,155,47,98,winter,Pain Relief,increasing,5,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-25,117,38,313,winter,Pain Relief,decreasing,7,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-26,75,42,82,winter,Pain Relief,stable,3,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-27,246,47,159,winter,Pain Relief,increasing,3,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-28,205,41,282,winter,Pain Relief,stable,3,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-29,158,47,206,winter,Pain Relief,increasing,3,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-30,120,38,63,winter,Pain Relief,decreasing,3,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-03-31,82,38,219,winter,Pain Relief,decreasing,4,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-01,342,41,237,summer,Pain Relief,stable,4,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-02,304,38,238,summer,Pain Relief,decreasing,4,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-03,262,42,327,summer,Pain Relief,stable,4,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-04,224,38,227,summer,Pain Relief,decreasing,3,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-05,176,48,103,summer,Pain Relief,increasing,6,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-06,137,39,312,summer,Pain Relief,decreasing,4,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-07,98,39,94,summer,Pain Relief,decreasing,2,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-08,51,47,323,summer,Pain Relief,increasing,6,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-09,243,47,174,summer,Pain Relief,increasing,2,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-10,199,44,255,summer,Pain Relief,stable,3,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-11,157,42,173,summer,Pain Relief,stable,6,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-12,109,48,276,summer,Pain Relief,increasing,6,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-13,63,46,223,summer,Pain Relief,stable,3,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-14,322,42,251,summer,Pain Relief,stable,4,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-15,284,38,158,summer,Pain Relief,decreasing,5,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-16,490,39,211,summer,Pain Relief,decreasing,7,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-17,448,42,327,summer,Pain Relief,stable,2,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-18,404,44,72,summer,Pain Relief,stable,2,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-19,364,40,345,summer,Pain Relief,stable,2,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-20,326,38,121,summer,Pain Relief,decreasing,5,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-21,280,46,246,summer,Pain Relief,stable,4,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-22,242,38,159,summer,Pain Relief,decreasing,5,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-23,196,46,135,summer,Pain Relief,stable,2,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-24,152,44,343,summer,Pain Relief,stable,7,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-25,111,41,203,summer,Pain Relief,stable,6,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-26,69,42,158,summer,Pain Relief,stable,5,Critically Low,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-27,352,46,112,summer,Pain Relief,stable,2,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-28,308,44,168,summer,Pain Relief,stable,6,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-29,261,47,245,summer,Pain Relief,increasing,7,Optimal,32.07,25.27,9
Store A,Ibuprofen_400mg,2024-04-30,214,47,192,summer,Pain Relief,increasing,4,Critically Low,32.07,25.27,9
Store A,Amoxicillin_500mg,2024-02-01,243,41,205,winter,Antibiotic,stable,5,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-02,204,39,133,winter,Antibiotic,stable,3,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-03,173,31,312,winter,Antibiotic,stable,7,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-04,136,37,233,winter,Antibiotic,stable,6,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-05,98,38,229,winter,Antibiotic,stable,2,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-06,66,32,342,winter,Antibiotic,decreasing,3,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-07,188,32,88,winter,Antibiotic,decreasing,6,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-08,152,36,195,winter,Antibiotic,stable,6,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-09,121,31,204,winter,Antibiotic,decreasing,2,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-10,87,34,351,winter,Antibiotic,stable,7,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-11,54,33,241,winter,Antibiotic,stable,4,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-12,253,40,78,winter,Antibiotic,increasing,7,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-13,220,33,232,winter,Antibiotic,stable,6,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-14,188,32,279,winter,Antibiotic,decreasing,7,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-15,148,40,207,winter,Antibiotic,increasing,5,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-16,320,38,60,winter,Antibiotic,stable,4,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-17,281,39,250,winter,Antibiotic,stable,5,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-18,250,31,176,winter,Antibiotic,decreasing,7,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-19,210,40,103,winter,Antibiotic,increasing,6,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-20,175,35,139,winter,Antibiotic,stable,7,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-21,140,35,262,winter,Antibiotic,stable,5,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-22,105,35,223,winter,Antibiotic,stable,4,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-23,72,33,79,winter,Antibiotic,stable,2,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-24,236,32,292,winter,Antibiotic,decreasing,2,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-25,205,31,113,winter,Antibiotic,decreasing,7,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-26,172,33,203,winter,Antibiotic,stable,2,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-27,131,41,71,winter,Antibiotic,increasing,3,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-28,93,38,215,winter,Antibiotic,stable,6,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-02-29,55,38,181,winter,Antibiotic,stable,5,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-01,260,34,195,winter,Antibiotic,stable,3,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-02,405,32,279,winter,Antibiotic,decreasing,6,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-03,366,39,287,winter,Antibiotic,stable,4,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-04,330,36,204,winter,Antibiotic,stable,2,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-05,299,31,271,winter,Antibiotic,decreasing,6,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-06,266,33,312,winter,Antibiotic,stable,7,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-07,234,32,315,winter,Antibiotic,decreasing,6,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-08,195,39,69,winter,Antibiotic,stable,7,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-09,163,32,310,winter,Antibiotic,decreasing,6,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-10,128,35,178,winter,Antibiotic,stable,2,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-11,92,36,124,winter,Antibiotic,stable,3,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-12,61,31,326,winter,Antibiotic,decreasing,6,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-13,233,40,276,winter,Antibiotic,increasing,7,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-14,192,41,342,winter,Antibiotic,increasing,2,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-15,161,31,157,winter,Antibiotic,decreasing,2,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-16,128,33,65,winter,Antibiotic,stable,5,Critically Low,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-17,443,31,192,winter,Antibiotic,decreasing,7,Surplus,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-18,410,33,82,winter,Antibiotic,stable,6,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-19,375,35,224,winter,Antibiotic,stable,3,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-20,335,40,142,winter,Antibiotic,increasing,2,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-21,300,35,137,winter,Antibiotic,stable,2,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-22,269,31,110,winter,Antibiotic,decreasing,6,Optimal,27.84,16.67,9
Store A,Amoxicillin_500mg,2024-03-23,235,34,347,winter,Antibiotic,stable,3,Optimal,27.84,16.67,9
